orbital_period,transit_duration,transit_depth,planet_radius,snr,semi_major_axis,stellar_density,equilibrium_temp,inclination,stellar_radius,stellar_mass,impact_parameter,koi_disposition
9.48803557,2.9575,615.8,2.26,35.8,0.0853,3.20796,793.0,89.66,0.927,0.919,0.146,CONFIRMED
54.4183827,4.507,874.8,2.83,25.8,0.2734,3.02368,443.0,89.57,0.927,0.919,0.586,CONFIRMED
19.89913995,1.7822,10829.0,14.6,76.3,0.1419,7.29555,638.0,88.96,0.868,0.961,0.969,CANDIDATE
1.736952453,2.40641,8079.2,33.46,505.6,0.0267,0.2208,1395.0,67.09,0.791,0.836,1.276,FALSE POSITIVE
2.525591777,1.6545,603.3,2.75,40.9,0.0374,1.98635,1406.0,85.41,1.046,1.095,0.701,CONFIRMED
11.09432054,4.5945,1517.5,3.9,66.5,0.0992,0.67324,835.0,88.11,0.972,1.053,0.538,CONFIRMED
4.13443512,3.1402,686.0,2.77,40.2,0.0514,0.37377,1160.0,83.72,0.972,1.053,0.762,CONFIRMED
2.56658897,2.429,226.5,1.59,15.0,0.0374,0.48909,1360.0,82.17,0.972,1.053,0.755,CONFIRMED
7.36178958,5.022,233.7,39.21,47.7,0.082,0.00485,1342.0,60.92,1.958,1.358,1.169,FALSE POSITIVE
16.06864674,3.5347,4914.3,5.76,161.9,0.1158,3.6659,600.0,89.92,0.848,0.801,0.052,CONFIRMED
2.470613377,1.74319,14231.0,13.04,4304.3,0.0354,1.83538,1339.0,84.41,0.964,0.971,0.818,CONFIRMED
2.204735417,3.88864,6674.7,16.1,5945.9,0.0376,0.37936,2048.0,87.21,1.952,1.449,0.224,CONFIRMED
3.522498429,3.19843,9145.7,14.59,1741.5,0.0473,0.65374,1521.0,85.2,1.451,1.132,0.631,CONFIRMED
3.709214104,2.6302,131.1,1.16,50.6,0.0465,1.77451,1206.0,89.73,1.022,0.974,0.051,CONFIRMED
11.521446064,3.6399,17984.0,150.51,622.1,0.0978,1.27376,753.0,83.13,0.848,0.938,2.483,FALSE POSITIVE
19.40393776,12.2155,8918.7,7.18,214.7,0.123,0.03785,523.0,84.93,0.68,0.657,0.804,FALSE POSITIVE
19.221388942,4.79843,74284.0,49.29,2317.0,0.1417,1.57359,698.0,88.05,0.947,1.025,1.065,FALSE POSITIVE
16.46983774,9.4378,10479.0,7.94,303.4,0.1147,0.19353,595.0,88.81,0.786,0.741,0.292,FALSE POSITIVE
9.27358173,3.2875,1288.3,2.47,87.2,0.0759,1.93557,649.0,88.93,0.696,0.676,0.387,CONFIRMED
6.02930329,1.5821,1912.7,2.85,65.4,0.0585,13.09803,678.0,89.5,0.672,0.761,0.258,CONFIRMED
2.696370652,3.6129,397.9,1.58,48.2,0.0349,0.51471,1066.0,89.56,0.819,0.781,0.044,FALSE POSITIVE
5.349553819,3.0278,831.0,2.55,60.6,0.0563,1.73782,919.0,89.62,0.91,0.831,0.092,CONFIRMED
3.94105221,2.5984,363.3,1.7,28.9,0.046,1.85636,1018.0,88.88,0.91,0.831,0.226,CONFIRMED
8.10904807,3.596,217.4,1.3,14.1,0.0743,1.5302,800.0,89.92,0.91,0.831,0.025,CONFIRMED
386.6030528,6.8057,24927.0,41.5,994.0,1.0719,4.63335,297.0,89.95,1.58,1.103,0.9765,FALSE POSITIVE
21.67699193,3.4555,857.2,2.95,34.3,0.1408,0.60007,530.0,87.91,0.828,0.791,0.896,CONFIRMED
4.99677968,2.1717,934.7,2.78,28.2,0.0559,1.71827,917.0,86.9,0.847,0.931,0.71,CONFIRMED
4.280963604,2.875,750.8,2.3,61.8,0.0503,1.24482,1012.0,87.72,0.831,0.928,0.424,CONFIRMED
1.50635409,1.5155,2211.7,4.53,181.1,0.025,0.84722,1452.0,79.38,0.831,0.926,0.86,FALSE POSITIVE
670.645531,53.412,18091.0,14.14,642.7,1.5155,0.02605,196.0,89.53,0.983,1.03,0.701,FALSE POSITIVE
61.2563628,7.633,5123.3,39.87,85.3,0.3137,0.12411,505.0,87.54,1.091,1.093,1.248,FALSE POSITIVE
38.3775486,5.588,724.2,2.82,34.7,0.2163,1.40588,529.0,89.44,1.036,0.915,0.468,CONFIRMED
41.19725502,4.6297,2213.9,3.86,51.2,0.217,3.9471,439.0,89.96,0.848,0.801,0.045,CONFIRMED
6.252962249,2.5819,1036.9,2.65,47.1,0.0617,3.28707,823.0,89.68,0.848,0.801,0.105,CONFIRMED
16.01308419,3.2554,1121.9,3.1,33.2,0.1148,1.10942,593.0,88.14,0.826,0.785,0.799,CONFIRMED
32.62876672,4.7971,1804.8,3.36,80.0,0.1889,2.79093,506.0,89.98,0.798,0.844,0.021,CONFIRMED
91.7732862,6.473,652.0,2.12,19.1,0.3764,1.60558,359.0,89.61,0.798,0.844,0.606,CONFIRMED
4.959319244,2.22739,9802.0,12.21,696.5,0.0565,1.46169,1103.0,86.15,1.082,0.976,0.831,CONFIRMED
2.701287801,3.3827,860.4,6.54,48.3,0.0365,0.02818,1222.0,62.69,0.91,0.889,1.016,FALSE POSITIVE
4.49876511,3.7362,460.0,2.1,29.5,0.0542,0.67106,1133.0,88.0,0.969,1.048,0.312,CONFIRMED
19.651209505,5.2514,11766.0,12.42,513.4,0.1433,0.67559,730.0,88.27,1.063,1.014,0.723,FALSE POSITIVE
5.412203927,2.9472,601.6,2.94,166.7,0.0591,0.51087,1093.0,85.12,1.087,0.941,0.787,CONFIRMED
41.43958662,10.5989,2793.1,5.5,141.1,0.2288,0.28189,516.0,89.31,1.046,0.93,0.355,CONFIRMED
8.35389523,2.2514,1041.6,2.52,43.4,0.0768,6.73215,790.0,89.95,0.787,0.862,0.023,CONFIRMED
4.125543472,3.1744,1487.3,4.43,128.6,0.0529,0.67162,1243.0,85.95,1.103,1.162,0.597,CONFIRMED
2.816504904,2.50587,16814.0,12.21,1406.8,0.0383,2.09079,1219.0,89.37,0.955,0.941,0.105,CONFIRMED
33.93373447,14.561,8503.7,7.34,236.1,0.1881,0.0371,430.0,86.45,0.705,0.782,0.812,FALSE POSITIVE
